outer_fold,test_subjects,outer_development_subjects,model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
1,0,"1,2,3",extra_trees,7,extra_trees__candidate_007,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,5,False,4,3,0.662501727942,0.0438156920877,0.673532723766,0.0428455925984,0.77102583706,0.022222017912,0.77490287657,0.0185411581892,0.663281915902,0.0263386238625,0.5963493784,0.016400229327
1,0,"1,2,3",extra_trees,8,extra_trees__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,6,False,4,3,0.661830123595,0.0410093100481,0.698091164357,0.0409924489759,0.767925164513,0.0205873648098,0.761857256889,0.0217532082685,0.654562603973,0.0317214105121,0.638813055746,0.0154551944191
2,1,"0,2,3",dummy_prior,1,dummy_prior__candidate_001,{},False,,False,0,3,0.121838670357,0.0213980335775,0.2,2.77555756156e-17,0.283090820956,0.104353288079,0.44614208637,0.105663173176,0,0,1.49471080051,0.170272434771
2,1,"0,2,3",logistic_regression,1,logistic_regression__candidate_001,"{""classifier__C"":0.1}",True,26,False,1,3,0.60238071367,0.0446243328457,0.655870201395,0.0309630893615,0.710394308233,0.0415768261243,0.709522561729,0.0533461082955,0.600217243957,0.0842291612277,0.83993701131,0.0330528308858
2,1,"0,2,3",logistic_regression,2,logistic_regression__candidate_002,"{""classifier__C"":1.0}",True,10,False,1,3,0.630963445722,0.0430749119379,0.675982671275,0.0336237844834,0.735257232407,0.0284412662986,0.733475509226,0.0329234147485,0.629545311954,0.060300880398,0.910036303549,0.0645813952081
2,1,"0,2,3",logistic_regression,3,logistic_regression__candidate_003,"{""classifier__C"":10.0}",True,11,False,1,3,0.629382496515,0.0351500632175,0.66941640114,0.0393539595467,0.733922331992,0.020438043356,0.731070499834,0.024529906838,0.624746390804,0.0512528851973,0.987278819579,0.0914437789841
2,1,"0,2,3",sgd_logistic,1,sgd_logistic__candidate_001,"{""classifier__alpha"":1e-05,""classifier__penalty"":""l2""}",True,19,False,2,3,0.618057241864,0.0381224259098,0.665575256914,0.0237919312587,0.732092881624,0.0324707647768,0.738032257362,0.0402105768117,0.632057949489,0.0700656596952,5.06399916589,0.157641623991
2,1,"0,2,3",sgd_logistic,2,sgd_logistic__candidate_002,"{""classifier__alpha"":0.0001,""classifier__penalty"":""l2""}",True,22,False,2,3,0.615097381876,0.0321978258107,0.667147754611,0.023668183895,0.730121693743,0.0233475862171,0.739532322311,0.0278854021391,0.634287860711,0.0544110473425,2.22116013214,0.733467807725
2,1,"0,2,3",sgd_logistic,3,sgd_logistic__candidate_003,"{""classifier__alpha"":0.001,""classifier__penalty"":""l2""}",True,25,False,2,3,0.604860408035,0.0289481835785,0.658988270805,0.0177416910701,0.721310016699,0.0220590478019,0.731493741489,0.030121592225,0.623939264602,0.0565992370954,0.888163499865,0.158146654277
2,1,"0,2,3",sgd_logistic,4,sgd_logistic__candidate_004,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,16,False,2,3,0.623824532575,0.0361500612218,0.669564531402,0.0237873365035,0.737643436275,0.0296945097736,0.743102480341,0.0390222078932,0.63855804534,0.0680178493431,5.11776414766,0.223004318533
